Commodity,Historical_Price,Median_Price,Price_Volatility,Market_Count,Observations,ML_Predicted_Price,Market_Price_Estimate,Prediction_Source,Price_Opportunity_Score,Stability_Score,Market_Activity_Score,Enhanced_Market_Score,Farm_Suitability_Score,Final_AgriSetu_Score
Green Chilli,3063.0873786407765,2700.0,1849.7895275440635,103,103,3136.1672769607503,3136.1672769607503,ML Model Signal,100.0,0.0,0.0,55.00000000000001,100,73.0
Brinjal,2046.7217391304348,1900.0,984.4498111450962,115,115,2049.4710000746236,2049.4710000746236,ML Model Signal,34.4434086768796,90.27107203144601,28.57142857142857,50.31091066743187,100,70.18654640045912
Onion,1710.8116883116884,1500.0,939.1578536704341,135,154,1695.7304868241536,1695.7304868241536,ML Model Signal,13.103478877872874,94.99586794472566,76.19047619047619,47.13424519481921,100,68.28054711689153
Tomato,1447.3548387096773,1125.0,1051.0683046615459,145,155,1478.5211807353776,1478.5211807353776,ML Model Signal,0.0,83.32152064384137,100.0,39.99645619315241,100,63.997873715891444
Potato,1505.974025974026,1200.0,891.1881761637171,144,154,1541.5720640712998,1541.5720640712998,ML Model Signal,3.8036395995197902,100.0,97.61904761904762,46.734858922593034,40,44.04091535355582
